0,40
4,2
8,160
12,-32
16,20000
20,20600
24,-32
28,40
32,160
36,20484
40,20044
44,160
48,-32
52,40
56,20400
60,20528
64,20088
68,2
72,160
76,-32
80,40
84,20572
88,20132
20000,-4
20004,-18
20008,-1
20012,-13
20016,15
20020,0
20024,-1
20028,19
20032,6
20036,-13
20040,-14
20044,0
20048,-9
20052,19
20056,16
20060,-19
20064,-15
20068,2
20072,-8
20076,3
20080,5
20084,3
20088,7
20092,6
20096,15
20100,19
20104,10
20108,-16
20112,18
20116,-2
20120,-9
20124,-6
20128,2
20132,3
20136,-8
20140,0
20144,16
20148,-10
20152,17
20156,4
20160,-1
20164,-8
20168,-10
20172,-19
20176,-1
20180,8
20184,19
20188,11
20192,-17
20196,2
20200,1
20204,-20
20208,7
20212,15
20216,-10
20220,2
20224,0
20228,2
20232,-9
20236,11
20240,-11
20244,14
20248,16
20252,5
20256,0
20260,2
20264,17
20268,16
20272,-8
20276,-8
20280,-3
20284,15
20288,1
20292,-12
20296,17
20300,15
20304,-1
20308,-3
20312,16
20316,14
20320,-11
20324,3
20328,-8
20332,10
20336,-10
20340,-10
20344,-13
20348,17
20352,18
20356,5
20360,9
20364,-16
20368,10
20372,-4
20376,-14
20380,9
20384,-4
20388,-8
20392,-1
20396,2
20400,0
20404,1
20408,2
20412,3
20416,4
20420,5
20424,6
20428,7
20432,8
20436,0
20440,0
20444,0
20448,0
20452,0
20456,0
20460,0
20464,0
20468,0
20472,0
20476,0
20480,0
20484,147
20488,350
20492,334
20496,198
20500,-14
20504,46
20508,-17
20512,0
20516,0
20520,-36
20524,98
20528,140
20532,113
20536,202
20540,38
20544,204
20548,103
20552,0
20556,0
20560,-166
20564,-246
20568,-187
20572,-27
20576,297
20580,261
20584,168
20588,35
20592,0
20596,0
20600,-165
20604,-102
20608,-57
20612,7
20616,110
20620,179
20624,-18
20628,37
20632,0
20636,0
20640,90
20644,231
20648,141
20652,76
20656,174
20660,316
20664,90
20668,-12
20672,0
20676,0
20680,192
20684,169
20688,121
20692,186
20696,294
20700,217
20704,160
20708,195
20712,0
20716,0
20720,-7
20724,57
20728,-13
20732,21
20736,-92
20740,60
20744,250
20748,369
20752,0
20756,0
20760,-22
20764,-54
20768,-92
20772,-63
20776,-175
20780,-42
20784,60
20788,153
20792,0
20796,0
20800,0
20804,0
20808,0
20812,0
20816,0
20820,0
20824,0
20828,0
20832,0
