0,2224
4,4
8,2000
12,2684
16,16
20,7
24,2736
28,2228
32,7
36,2028
40,7
44,16
48,2056
52,2804
56,2232
60,4
64,7
68,16
72,2
76,2084
80,2872
84,2236
88,7
92,16
2000,0
2004,1
2008,2
2012,3
2016,4
2020,5
2024,6
2028,7
2032,8
2036,9
2040,10
2044,11
2048,12
2052,13
2056,14
2060,15
2064,16
2068,17
2072,18
2076,19
2080,20
2084,21
2088,22
2092,23
2096,24
2100,25
2104,26
2108,27
2112,28
2116,29
2120,30
2124,31
2128,32
2132,33
2136,34
2140,35
2144,36
2148,37
2152,38
2156,39
2160,40
2164,41
2168,42
2172,43
2176,44
2180,45
2184,46
2188,47
2192,48
2196,49
2200,50
2204,51
2208,52
2212,53
2216,54
2220,55
2224,0
2228,1
2232,2
2236,3
2240,4
2244,5
2248,6
2252,7
2256,8
2260,9
2264,10
2268,11
2272,12
2276,13
2280,14
2284,15
2288,16
2292,17
2296,18
2300,19
2304,20
2308,21
2312,22
2316,23
2320,24
2324,25
2328,26
2332,27
2336,28
2340,29
2344,30
2348,31
2352,32
2356,33
2360,34
2364,35
2368,36
2372,37
2376,38
2380,39
2384,40
2388,41
2392,42
2396,43
2400,44
2404,45
2408,46
2412,47
2416,48
2420,49
2424,50
2428,51
2432,52
2436,53
2440,54
2444,55
2448,56
2452,57
2456,58
2460,59
2464,60
2468,61
2472,62
2476,63
2480,64
2484,65
2488,66
2492,67
2496,68
2500,69
2504,70
2508,71
2512,72
2516,73
2520,74
2524,75
2528,76
2532,77
2536,78
2540,79
2544,80
2548,81
2552,82
2556,83
2560,84
2564,85
2568,86
2572,87
2576,88
2580,89
2584,90
2588,91
2592,92
2596,93
2600,94
2604,95
2608,96
2612,97
2616,98
2620,99
2624,100
2628,101
2632,102
2636,103
2640,104
2644,105
2648,106
2652,107
2656,108
2660,109
2664,110
2668,111
2672,1456
2676,1477
2680,1498
2684,1519
2688,1540
2692,1561
2696,1582
2700,1603
2704,1624
2708,1645
2712,1666
2716,1687
2720,1708
2724,1729
2728,1750
2732,1771
2736,3808
2740,3878
2744,3948
2748,4018
2752,4088
2756,4158
2760,4228
2764,4298
2768,4368
2772,4438
2776,4508
2780,4578
2784,4648
2788,4718
2792,4788
2796,4858
2800,6160
2804,6279
2808,6398
2812,6517
2816,6636
2820,6755
2824,6874
2828,6993
2832,7112
2836,7231
2840,7350
2844,7469
2848,7588
2852,7707
2856,7826
2860,7945
2864,8512
2868,8680
2872,8848
2876,9016
2880,9184
2884,9352
2888,9520
2892,9688
2896,9856
2900,10024
2904,10192
2908,10360
2912,10528
2916,10696
2920,10864
2924,11032
2928,10864
2932,11081
2936,11298
2940,11515
2944,11732
2948,11949
2952,12166
2956,12383
2960,12600
2964,12817
2968,13034
2972,13251
2976,13468
2980,13685
2984,13902
2988,14119
2992,13216
2996,13482
3000,13748
3004,14014
3008,14280
3012,14546
3016,14812
3020,15078
3024,15344
3028,15610
3032,15876
3036,16142
3040,16408
3044,16674
3048,16940
3052,17206
3056,15568
3060,15883
3064,16198
3068,16513
3072,16828
3076,17143
3080,17458
3084,17773
3088,18088
3092,18403
3096,18718
3100,19033
3104,19348
3108,19663
3112,19978
3116,20293
3120,17920
3124,18284
3128,18648
3132,19012
3136,19376
3140,19740
3144,20104
3148,20468
3152,20832
3156,21196
3160,21560
3164,21924
3168,22288
3172,22652
3176,23016
3180,23380
